provider,id_trecho,repo,arquivo,tipo,nome,stars,loc,tempo_geracao_segundos,ok_geracao,bleu,meteor,rouge1_f,rouge2_f,rougeL_f,codebleu,qtd_erros_lint,qtd_warnings_lint,qtd_total_problemas_lint,conforme_jsdoc,regras_violadas
chatgpt,ZmFjZWJvb2svcmVhY3R8cGFja2FnZXMvZXNsaW50LXBsdWdpbi1yZWFjdC1ob29rcy9zcmMvY29kZS1wYXRoLWFuYWx5c2lzL2ZvcmstY29udGV4dC5qc3wzN3xmdW5jdGlvbnxtYWtlU2VnbWVudHM,facebook/react,packages/eslint-plugin-react-hooks/src/code-path-analysis/fork-context.js,function,makeSegments,244709,14,6.89,True,0.017428,0.318506,0.374101,0.086957,0.23741,,1,0,1,0,jsdoc/require-param-description:1
chatgpt,dHJla2hsZWIvamF2YXNjcmlwdC1hbGdvcml0aG1zfHNyYy9hbGdvcml0aG1zL2NyeXB0b2dyYXBoeS9yYWlsLWZlbmNlLWNpcGhlci9yYWlsRmVuY2VDaXBoZXIuanN8Nzl8ZnVuY3Rpb258ZmlsbEVuY29kZUZlbmNl,trekhleb/javascript-algorithms,src/algorithms/cryptography/rail-fence-cipher/railFenceCipher.js,function,fillEncodeFence,195877,25,2.29,True,0.019518,0.455137,0.434783,0.19469,0.382609,,1,0,1,0,jsdoc/require-param-description:1
chatgpt,dHJla2hsZWIvamF2YXNjcmlwdC1hbGdvcml0aG1zfHNyYy9hbGdvcml0aG1zL2NyeXB0b2dyYXBoeS9yYWlsLWZlbmNlLWNpcGhlci9yYWlsRmVuY2VDaXBoZXIuanN8MTY2fGZ1bmN0aW9ufGRlY29kZUZlbmNl,trekhleb/javascript-algorithms,src/algorithms/cryptography/rail-fence-cipher/railFenceCipher.js,function,decodeFence,195877,25,3.63,True,0.015687,0.494171,0.305732,0.180645,0.280255,,0,0,0,1,
chatgpt,dmVyY2VsL25leHQuanN8LmdpdGh1Yi9hY3Rpb25zL25leHQtc3RhdHMtYWN0aW9uL3NyYy91dGlsL3N0YXRzLmpzfDEwfGZ1bmN0aW9ufGNhbGNTdGF0cw,vercel/next.js,.github/actions/next-stats-action/src/util/stats.js,function,calcStats,139181,22,1.97,True,0.048797,0.376039,0.509804,0.1,0.392157,,0,0,0,1,
chatgpt,dmVyY2VsL25leHQuanN8LmdpdGh1Yi9hY3Rpb25zL25leHQtcmVwby1hY3Rpb25zL3NyYy9wb3B1bGFyLWZlYXR1cmUtcmVxdWVzdHMubWpzfDMwfGZ1bmN0aW9ufGdlbmVyYXRlQmxvY2tz,vercel/next.js,.github/actions/next-repo-actions/src/popular-feature-requests.mjs,function,generateBlocks,139181,28,2.93,True,0.002147,0.07874,0.056604,0.0,0.056604,,0,0,0,1,
chatgpt,Q2hhbGFyYW5nZWxvLzMwLXNlY29uZHMtb2YtY29kZXxzcmMvbGliL2NvbnRlbnRVdGlscy9tYXJrZG93blBhcnNlci9wbHVnaW5zL2FzdC9oaWdobGlnaHRDb2RlLmpzfDMxfGZ1bmN0aW9ufGNyZWF0ZU1ldGFkYXRhRXh0cmFjdG9y,Chalarangelo/30-seconds-of-code,src/lib/contentUtils/markdownParser/plugins/ast/highlightCode.js,function,createMetadataExtractor,127588,19,3.12,True,0.007056,0.180624,0.319527,0.083832,0.201183,,1,0,1,0,jsdoc/check-indentation:1
chatgpt,Q2hhbGFyYW5nZWxvLzMwLXNlY29uZHMtb2YtY29kZXxzcmMvbGliL2NvbnRlbnRVdGlscy9tYXJrZG93blBhcnNlci9wbHVnaW5zL2FzdC9oaWdobGlnaHRDb2RlLmpzfDU5fGZ1bmN0aW9ufGNyZWF0ZUF0dHJpYnV0ZXM,Chalarangelo/30-seconds-of-code,src/lib/contentUtils/markdownParser/plugins/ast/highlightCode.js,function,createAttributes,127588,18,2.66,True,0.019902,0.32341,0.335766,0.118519,0.277372,,1,0,1,0,jsdoc/require-param-description:1
chatgpt,bm9kZWpzL25vZGV8bGliL2ludGVybmFsL21vZHVsZXMvaGVscGVycy5qc3w0Mjh8ZnVuY3Rpb258YXNzZXJ0QnVmZmVyU291cmNl,nodejs/node,lib/internal/modules/helpers.js,function,assertBufferSource,116918,15,2.08,True,0.151778,0.484299,0.702381,0.385542,0.535714,,0,0,0,1,
chatgpt,bm9kZWpzL25vZGV8bGliL2ludGVybmFsL21vZHVsZXMvY2pzL2xvYWRlci5qc3wxNDkwfGZ1bmN0aW9ufGZpbmFsaXplRXNtUmVzb2x1dGlvbg,nodejs/node,lib/internal/modules/cjs/loader.js,function,finalizeEsmResolution,116918,13,2.75,True,0.071652,0.480829,0.566265,0.341463,0.457831,,0,0,0,1,
chatgpt,bXJkb29iL3RocmVlLmpzfHNyYy9ub2Rlcy9jb3JlL1N1YkJ1aWxkTm9kZS5qc3wxMnxjbGFzc3xTdWJCdWlsZE5vZGU,mrdoob/three.js,src/nodes/core/SubBuildNode.js,class,SubBuildNode,112193,41,4.49,True,0.002172,0.081776,0.258065,0.033333,0.193548,,0,0,0,1,
